ID;courseCode;courseName;description;ects;quota;enrolled;isActive;semester;instructor_ID;department_ID
1;CS101;Introduction to Programming;Learn programming fundamentals;5;50;5;true;Fall 2025;1;1
2;CS201;Data Structures;Advanced data structures and algorithms;7;40;4;true;Fall 2025;1;1
3;BA101;Business Fundamentals;Introduction to business concepts;4;60;3;true;Fall 2025;2;2
4;CS102;Web Development;Modern web development with HTML, CSS, and JavaScript;6;45;3;true;Fall 2025;3;1
5;CS301;Database Systems;Relational databases and SQL;8;35;2;true;Fall 2025;7;1
6;BA201;Marketing Principles;Introduction to marketing strategies;5;50;4;true;Fall 2025;5;2
7;BA202;Financial Accounting;Fundamentals of accounting and finance;6;45;3;true;Fall 2025;8;2
8;MATH101;Calculus I;Differential and integral calculus;7;60;5;true;Fall 2025;4;3
9;MATH201;Linear Algebra;Vectors, matrices, and linear transformations;6;50;4;true;Fall 2025;9;3
10;MATH301;Differential Equations;Ordinary and partial differential equations;8;40;2;true;Fall 2025;21;3
11;PSY101;Introduction to Psychology;Overview of psychological principles;4;70;6;true;Fall 2025;6;4
12;PSY201;Cognitive Psychology;Study of mental processes;5;50;4;true;Fall 2025;10;4
13;PSY301;Social Psychology;Human behavior in social contexts;6;45;3;true;Fall 2025;22;4
14;ME101;Engineering Mechanics;Statics and dynamics fundamentals;7;40;3;true;Fall 2025;11;5
15;ME201;Thermodynamics;Heat, work, and energy systems;8;35;2;true;Fall 2025;12;5
16;ME301;Fluid Mechanics;Fluid statics and dynamics;7;30;2;true;Fall 2025;23;5
17;ECON101;Microeconomics;Supply, demand, and market structures;5;65;5;true;Fall 2025;13;6
18;ECON201;Macroeconomics;National income, inflation, and unemployment;6;60;4;true;Fall 2025;14;6
19;ECON301;International Economics;Global trade and finance;7;40;2;true;Fall 2025;24;6
20;PHYS101;General Physics I;Mechanics and thermodynamics;7;55;4;true;Fall 2025;15;7
21;PHYS201;General Physics II;Electricity and magnetism;7;50;3;true;Fall 2025;16;7
22;PHYS301;Quantum Mechanics;Introduction to quantum theory;9;30;2;true;Fall 2025;25;7
23;ENG101;English Composition;Academic writing and rhetoric;3;50;5;true;Fall 2025;17;8
24;ENG201;World Literature;Survey of global literary works;4;45;4;true;Fall 2025;18;8
25;ENG301;Shakespeare Studies;Analysis of Shakespeare's plays;5;35;2;true;Fall 2025;17;8
26;CS401;Machine Learning;Introduction to AI and ML algorithms;9;30;3;true;Spring 2026;19;1
27;BA301;Strategic Management;Business strategy and competitive advantage;7;40;2;true;Spring 2026;20;2
28;MATH401;Abstract Algebra;Groups, rings, and fields;8;25;1;true;Spring 2026;21;3
29;PSY401;Clinical Psychology;Mental health assessment and treatment;8;30;2;true;Spring 2026;22;4
30;ME401;Control Systems;Feedback control and automation;9;25;1;true;Spring 2026;23;5
